variety,points,points,points,points,points,points,points,points,price,price,price,price,price,price,price,price
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
variety,,,,,,,,,,,,,,,,
Sauvignon-Sémillon,1,86,,86,86,86,86,86,1,12,,12,12,12,12,12
Sauvignonasse,1,90,,90,90,90,90,90,1,25,,25,25,25,25,25
Savagnin,15,89.86666667,2.416215065,87,88,89,92,94,15,43.73333333,21.61503004,15,28,42,56,90
Savatiano,5,87.2,2.683281573,84,86,86,90,90,5,13.8,7.190271205,8,9,10,17,25
Scheurebe,23,90.60869565,3.380951055,85,88,90,92,97,23,44.52173913,36.06921322,12,17,25,67.5,125
Schiava,23,88.17391304,0.886882892,87,87.5,88,89,90,23,19.04347826,4.061775931,13,15,18,23,25
Schwartzriesling,1,90,,90,90,90,90,90,1,25,,25,25,25,25,25
Sciaccerellu,3,88.66666667,1.154700538,88,88,88,89,90,3,37.33333333,28.29016319,21,21,21,45.5,70
Semillon-Chardonnay,5,85.6,2.073644135,84,84,85,86,89,5,12.4,4.5607017,7,8,15,15,17
Semillon-Sauvignon Blanc,52,88.46153846,3.744075259,82,86,88,91,98,52,29.55769231,18.20193209,9,18.75,25,32.75,85
Sercial,1,94,,94,94,94,94,94,1,50,,50,50,50,50,50
Seyval Blanc,16,84.1875,1.376892637,81,83.75,84,85,87,16,19.6875,9.184906096,9,13.75,19,22.25,45
Sherry,100,89.82,2.55200456,83,88,90,92,94,100,35.66,34.74356855,10,16,18,42,170
Shiraz,822,89.04501217,3.129626329,80,87,89,91,99,822,41.54257908,65.86194184,5,15,24,50,850
Shiraz-Cabernet,3,86.66666667,0.577350269,86,86.5,87,87,87,3,56.33333333,32.33161507,19,47,75,75,75
Shiraz-Cabernet Sauvignon,36,87.13888889,3.154613653,81,85,87,89,95,36,21.16666667,15.52785515,5,12,16.5,22.75,80
Shiraz-Grenache,15,89.66666667,2.225394561,85,88.5,90,91,92,15,28.26666667,19.26679848,11,19,20,23.5,65
Shiraz-Malbec,3,90,2,88,89,90,91,92,3,18.66666667,5.507570547,15,15.5,16,20.5,25
Shiraz-Mourvèdre,3,88.66666667,0.577350269,88,88.5,89,89,89,3,17.66666667,3.785938897,15,15.5,16,19,22
Shiraz-Roussanne,1,90,,90,90,90,90,90,1,29,,29,29,29,29,29
Shiraz-Tempranillo,2,82,2.828427125,80,81,82,83,84,2,8.5,2.121320344,7,7.75,8.5,9.25,10
Shiraz-Viognier,38,89.57894737,3.251873298,82,87.25,89,91.75,97,38,53.18421053,60.9904092,12,20,25,45,225
Sideritis,1,85,,85,85,85,85,85,1,23,,23,23,23,23,23
Siegerrebe,1,84,,84,84,84,84,84,1,15,,15,15,15,15,15
Silvaner,37,88.48648649,2.364337135,85,87,88,90,96,37,46,62.12532137,12,18,21,28,279
Silvaner-Traminer,1,86,,86,86,86,86,86,1,25,,25,25,25,25,25
Siria,11,87.36363636,2.15743956,84,86,88,88.5,90,11,14.27272727,3.523944071,10,11.5,15,15,20
Sirica,2,92.5,0.707106781,92,92.25,92.5,92.75,93,2,23,0,23,23,23,23,23
Sousão,8,88.125,1.885091889,84,88,88,89.25,90,8,36.75,9.192388155,14,40,40,40,40
Souzao,3,86.66666667,0.577350269,86,86.5,87,87,87,3,28,6.92820323,24,24,24,30,36
Sparkling Blend,2027,88.08140109,2.863940708,80,86,88,90,98,2027,29.61124815,20.19546223,5,16,24,38,250
Spätburgunder,70,90.05714286,2.707401098,81,88.25,90,92,95,70,60.97142857,36.35292841,16,32.25,50,83.75,181
St. Laurent,75,89.93333333,2.451328009,84,88,90,92,95,75,30.74666667,17.75287821,10,20,25,40,90
St. Vincent,1,85,,85,85,85,85,85,1,24,,24,24,24,24,24
Susumaniello,5,89,2.828427125,86,87,88,92,92,5,30.8,16.64932431,18,18,20,48,50
Sylvaner,46,88.43478261,2.166945356,84,87,88,90,93,46,22.13043478,6.417367739,12,18,20,25,40
Symphony,5,85.4,2.607680962,82,84,85,88,88,5,15.8,12.53794241,8,9,12,12,38
Syrah,4086,89.2907489,3.046863279,80,87,90,92,100,4086,39.13778757,27.32462909,4,25,35,45,750
Syrah-Bonarda,1,87,,87,87,87,87,87,1,13,,13,13,13,13,13
Syrah-Cabernet,15,87.26666667,2.96326718,82,85,88,89,93,15,26.86666667,16.59116231,9,16,18,37.5,60
Syrah-Cabernet Franc,5,90.2,2.049390153,88,88,91,92,92,5,67.2,4.024922359,60,69,69,69,69
Syrah-Cabernet Sauvignon,37,89.2972973,2.706626281,80,88,90,91,94,37,45.13513514,16.97573785,12,35,40,60,85
Syrah-Carignan,4,89.75,1.707825128,88,88.75,89.5,90.5,92,4,22.75,8.180260795,18,18.75,19,23,35
Syrah-Grenache,57,88.70175439,2.872063173,80,86,89,91,95,57,28.87719298,15.77868157,6,15,28,35,95
Syrah-Grenache-Viognier,1,90,,90,90,90,90,90,1,45,,45,45,45,45,45
Syrah-Malbec,1,89,,89,89,89,89,89,1,14,,14,14,14,14,14
Syrah-Merlot,7,88,1.527525232,86,87,88,89,90,7,27,17.1464282,11,15.5,20,34,59
Syrah-Mourvèdre,20,89.25,2.446802425,83,87.75,90,91,93,20,32.05,12.21075885,13,22.5,27.5,40.5,55
Syrah-Petit Verdot,3,91.33333333,2.309401077,90,90,90,92,94,3,39.66666667,8.082903769,35,35,35,42,49
Syrah-Petite Sirah,16,89.75,3.785938897,82,87.75,91,92,94,16,40.6875,14.84012017,24,34.25,36,41.25,85
Syrah-Tempranillo,7,89.71428571,2.058663459,87,88,90,91.5,92,7,39.85714286,11.18672683,15,42,45,45,45
Syrah-Viognier,18,89.72222222,2.824380318,84,89,90,91.75,94,18,50.55555556,23.26629024,14,36,50,70,90
Sämling,2,88.5,0.707106781,88,88.25,88.5,88.75,89,2,35.5,14.8492424,25,30.25,35.5,40.75,46
Sémillon,131,88.13740458,3.149513659,80,86,89,90,96,131,24.61832061,11.68526884,9,17,21,28,79
Tamianka,1,89,,89,89,89,89,89,1,20,,20,20,20,20,20
Tamjanika,2,88,0,88,88,88,88,88,2,18,0,18,18,18,18,18
Tannat,169,88.72781065,3.20293698,80,87,89,91,96,169,33.18343195,25.06792126,10,20,29,38,200
Tannat-Cabernet,26,90.34615385,2.606795852,85,88.25,91,92.75,94,26,20.5,12.01415831,11,14,15,25,65
Tannat-Cabernet Franc,16,90.9375,1.768945072,87,90,90.5,92,94,16,21.375,10.06561805,12,14,16,27.5,42
Tannat-Merlot,9,87.11111111,2.420973174,85,86,87,87,93,9,18.22222222,6.833333333,10,13,16,23,29
Tannat-Syrah,6,87.5,3.082207001,84,86,87,88,93,6,16,12,10,10,10,14.5,40
Tempranillo,1789,87.52263835,3.077697535,80,85,87,90,97,1789,31.1509223,33.72222737,4,14,22,35,600
Tempranillo Blanco,9,83.66666667,1.414213562,81,83,84,84,86,9,29.11111111,9.905105305,12,24,26,40,40
Tempranillo Blend,583,88.26586621,2.994780895,80,86,88,91,96,583,35.89536878,38.538565,7,16,25,40,450
Tempranillo-Cabernet Sauvignon,53,86.64150943,2.78107851,81,85,87,88,93,53,51.41509434,121.3057856,8,11,15,28,600
Tempranillo-Garnacha,32,85.1875,2.347785504,81,83,86,87,89,32,12.28125,4.349522592,8,10,11.5,13,28
Tempranillo-Merlot,7,85.28571429,3.728908943,80,83.5,85,86.5,92,7,19.42857143,11.01297936,6,13.5,17,23,40
Tempranillo-Shiraz,8,84.75,2.866057521,81,82,85,87.25,88,8,14.25,6.692212959,10,10,12,15,30
Tempranillo-Syrah,2,86.5,6.363961031,82,84.25,86.5,88.75,91,2,17.5,7.778174593,12,14.75,17.5,20.25,23
Tempranillo-Tannat,1,88,,88,88,88,88,88,1,20,,20,20,20,20,20
Teran,7,88,3.366501646,81,87.5,89,90,91,7,26,9.865765725,18,19,23,29,45
Teroldego,32,89.03125,2.901438742,83,87.75,88,91.25,95,32,32.53125,15.32231006,14,18,29.5,40,72
Teroldego Rotaliano,1,86,,86,86,86,86,86,1,15,,15,15,15,15,15
Terrantez,1,95,,95,95,95,95,95,1,236,,236,236,236,236,236
Thrapsathiri,1,88,,88,88,88,88,88,1,25,,25,25,25,25,25
Timorasso,5,90.6,0.894427191,90,90,90,91,92,5,41.6,17.61533423,25,25,38,60,60
Tinta Amarela,1,90,,90,90,90,90,90,1,30,,30,30,30,30,30
Tinta Barroca,4,87.75,2.217355783,86,86.75,87,88,91,4,26.5,17.97220076,13,18.25,20,28.25,53
Tinta Cao,2,90,0,90,90,90,90,90,2,14,0,14,14,14,14,14
Tinta Fina,11,87.90909091,2.773248833,82,86,89,90,91,11,30,4.979959839,25,26,29,33,40
Tinta Francisca,3,90.33333333,1.154700538,89,90,91,91,91,3,50,17.32050808,30,45,60,60,60
Tinta Madeira,1,89,,89,89,89,89,89,1,45,,45,45,45,45,45
Tinta Miúda,3,87.66666667,1.154700538,87,87,87,88,89,3,18.66666667,8.082903769,14,14,14,21,28
Tinta Negra Mole,1,92,,92,92,92,92,92,1,112,,112,112,112,112,112
Tinta Roriz,10,88.5,3.40750805,84,86.25,88.5,90,94,10,29.4,20.30435093,9,15.5,25.5,38,75
Tinta de Toro,165,89.58181818,3.407439363,80,88,90,92,97,165,45.35757576,50.48350993,7,18,27,50,250
Tinta del Pais,2,95,1.414213562,94,94.5,95,95.5,96,2,47.5,3.535533906,45,46.25,47.5,48.75,50
Tinta del Toro,3,86.33333333,5.686240703,80,84,88,89.5,91,3,23.33333333,12.01388086,11,17.5,24,29.5,35
Tintilia ,1,87,,87,87,87,87,87,1,25,,25,25,25,25,25
Tinto Fino,100,89.88,3.565491169,81,87,90,92.25,98,100,64.25,74.50867687,12,20,31,86.25,450
Tinto Velasco,1,85,,85,85,85,85,85,1,9,,9,9,9,9,9
Tinto del Pais,18,87.88888889,3.924116819,80,86,87,90.75,96,18,39.44444444,46.52035889,13,14.25,23.5,31.75,204
Tocai,9,88,2.397915762,85,87,87,89,93,9,21.33333333,8.261355821,10,16,22,22,35
Tocai Friulano,20,87.45,2.282081229,83,86,87,88.25,93,20,24.85,13.12400372,15,20,20.5,25,75
Tokaji,23,90.65217391,2.228099387,86,89.5,91,92,96,23,59.08695652,42.10151481,13,25.5,50,78,175
Tokay,7,90.71428571,3.683941988,86,89,91,91,98,7,47,48.16983842,15,17,19,60.5,140
Tokay Pinot Gris,1,89,,89,89,89,89,89,1,30,,30,30,30,30,30
Torbato,2,91,0,91,91,91,91,91,2,20,0,20,20,20,20,20
Torontel,1,92,,92,92,92,92,92,1,40,,40,40,40,40,40
Torrontés,247,85.59109312,2.215705585,80,84,86,87,92,247,13.80161943,4.003697149,7,11,13,15,36
Touriga,3,89.33333333,1.154700538,88,89,90,90,90,3,45.66666667,0.577350269,45,45.5,46,46,46
Touriga Franca,7,88.57142857,1.397276262,87,88,88,89,91,7,27,14.18919777,10,17,20,40,45
Touriga Nacional,173,88.96531792,2.990092076,80,86,89,92,95,173,28.75144509,17.2667701,7,15,24,36,100
Touriga Nacional Blend,14,89.14285714,2.107026445,85,88,89,90,93,14,28.42857143,34.48458805,11,13,15.5,28.25,144
Touriga Nacional-Cabernet Sauvignon,26,88.07692308,2.560048076,84,86,88.5,90,92,26,14.03846154,7.1804221,7,9.25,12,15,40
Trajadura,1,86,,86,86,86,86,86,1,7,,7,7,7,7,7
Traminer,34,88.02941176,2.844295664,83,87,88,89,96,34,24.29411765,16.62697591,10,15,19.5,28,100
Traminette,10,84.6,2.412928143,81,83.5,85,85.75,89,10,15.1,1.791957341,13,14,15,15.75,18
Trebbiano,43,87.20930233,2.474230419,83,85,87,88.5,93,43,23.27906977,13.52304133,9,12.5,20,30,60
Trebbiano Spoletino,5,87.6,0.894427191,87,87,87,88,89,5,22.4,4.335896678,20,20,20,22,30
Trebbiano di Lugana,3,87.66666667,0.577350269,87,87.5,88,88,88,3,29.33333333,9.814954576,18,26.5,35,35,35
Treixadura,3,87.33333333,0.577350269,87,87,87,87.5,88,3,17,1.732050808,15,16.5,18,18,18
Trepat,10,87.8,2.740640639,83,86.25,88.5,90,91,10,21.4,7.618690468,12,16.5,21,25,38
Trincadeira,24,87.75,1.77543626,84,87,87,89,92,24,19.83333333,8.686154233,12,14,17.5,22,45
Trollinger,2,90.5,3.535533906,88,89.25,90.5,91.75,93,2,21.5,0.707106781,21,21.25,21.5,21.75,22
Trousseau,6,87.16666667,2.136976057,85,86,86.5,87.75,91,6,37.66666667,11.86029792,26,31.5,35,38.5,60
Trousseau Gris,3,90,5.196152423,84,88.5,93,93,93,3,23.66666667,4.041451884,19,22.5,26,26,26
Tsapournakos,1,90,,90,90,90,90,90,1,27,,27,27,27,27,27
Tsolikouri,1,87,,87,87,87,87,87,1,14,,14,14,14,14,14
Turbiana,146,88.89726027,2.005954763,84,87,89,90,94,146,23.89041096,7.149751177,9,19,23,29,48
Tămâioasă Românească,2,88,1.414213562,87,87.5,88,88.5,89,2,11,1.414213562,10,10.5,11,11.5,12
Ugni Blanc,3,90.66666667,1.154700538,90,90,90,91,92,3,27,0,27,27,27,27,27
Ugni Blanc-Colombard,9,85.77777778,0.833333333,85,85,86,86,87,9,10.88888889,1.054092553,9,10,11,12,12
Uva di Troia,13,87.69230769,1.750457816,85,87,88,88,92,13,24.46153846,9.828660341,10,18,22,30,44
Uvalino,2,88,0,88,88,88,88,88,2,29,0,29,29,29,29,29
Valdiguié,6,87,1.549193338,86,86,86.5,87,90,6,19,16.18641406,10,10,10,20.5,50
Valvin Muscat,1,87,,87,87,87,87,87,1,13,,13,13,13,13,13
Veltliner,4,90,1.825741858,88,88.75,90,91.25,92,4,29.5,8.22597512,20,26,29,32.5,40
Verdeca,5,86.2,2.28035085,84,85,86,86,90,5,15.6,4.277849927,10,15,15,16,22
Verdejo,291,86.32646048,2.236057379,80,85,87,88,92,291,16.20618557,6.763397653,6,12,14,18,50
Verdejo-Sauvignon Blanc,5,85,1.58113883,83,84,85,86,87,5,9.8,0.447213595,9,10,10,10,10
Verdejo-Viura,22,85.72727273,1.980423672,80,85,86,87,88,22,10.81818182,2.038588766,8,9,11,12,16
Verdelho,55,87.14545455,2.04955444,82,86,87,88,96,55,20.36363636,27.82442548,9,14,15,19,220
Verdicchio,161,87.83850932,2.173420752,82,86,88,89,95,161,21.98757764,10.849532,10,14,18,26,57
Verdil,1,86,,86,86,86,86,86,1,18,,18,18,18,18,18
Verdosilla,1,84,,84,84,84,84,84,1,17,,17,17,17,17,17
Verduzzo,5,88.8,1.788854382,88,88,88,88,92,5,33,11.81101181,18,27,30,45,45
Verduzzo Friulano ,3,88.66666667,1.154700538,88,88,88,89,90,3,54.33333333,16.80277755,36,47,58,63.5,69
Vermentino,207,87.71014493,1.973868972,83,86.5,87,89,94,207,22.64251208,13.03757562,8,16,20,26,157
Vermentino Nero,1,88,,88,88,88,88,88,1,45,,45,45,45,45,45
Vernaccia,126,87.37301587,1.573450359,85,86,87,88,93,126,18.63492063,6.220743588,7,14,17.5,21.75,36
Vespaiolo,1,92,,92,92,92,92,92,1,40,,40,40,40,40,40
Vespolina,2,88,0,88,88,88,88,88,2,25,0,25,25,25,25,25
Vidadillo,1,89,,89,89,89,89,89,1,24,,24,24,24,24,24
Vidal,11,89.36363636,2.730301349,85,87.5,91,91.5,92,11,37.81818182,16.96949134,13,29,31,52,60
Vidal Blanc,55,87.01818182,2.599792792,81,85,87,89,92,55,35,22.28685047,11,18,25,47,85
Vignoles,11,85.45454545,2.207425485,80,84.5,86,87,88,11,18,5.272570531,10,14.5,18,22,25
Vilana,4,86.5,2.380476143,84,84.75,86.5,88.25,89,4,14.5,4.434711565,11,12.5,13,15,21
Vinhão,2,86.5,2.121320344,85,85.75,86.5,87.25,88,2,22,5.656854249,18,20,22,24,26
Viognier,985,87.7715736,2.875393939,80,86,88,90,96,985,26.0893401,16.0941759,8,18,23,28,140
Viognier-Chardonnay,8,85,2.20389266,82,83.75,84.5,86.5,88,8,20.5,12.22409798,10,15.75,16,19,49
Viognier-Gewürztraminer,2,86,0,86,86,86,86,86,2,15,0,15,15,15,15,15
Viognier-Grenache Blanc,3,89.66666667,2.309401077,87,89,91,91,91,3,32,4.358898944,27,30.5,34,34.5,35
Viognier-Marsanne,3,88.33333333,2.081665999,86,87.5,89,89.5,90,3,20.33333333,6.658328118,16,16.5,17,22.5,28
Viognier-Roussanne,7,88,4.618802154,83,83.5,89,91.5,94,7,25.71428571,18.09893446,14,16.5,18,25,65
Viognier-Valdiguié,1,84,,84,84,84,84,84,1,17,,17,17,17,17,17
Viosinho,5,88.4,1.949358869,87,87,87,90,91,5,23.4,7.893034904,16,19,19,28,35
Vitovska,3,90.33333333,0.577350269,90,90,90,90.5,91,3,64.33333333,35.79571669,23,54,85,85,85
Viura,105,85.28571429,2.677234098,80,84,85,87,92,105,15.2952381,10.08704787,7,10,12,15,80
Viura-Chardonnay,13,84.69230769,1.702185624,81,84,85,86,87,13,10.76923077,2.127355407,9,9,9,13,14
Viura-Verdejo,2,84.5,2.121320344,83,83.75,84.5,85.25,86,2,12,1.414213562,11,11.5,12,12.5,13
Vranac,1,86,,86,86,86,86,86,1,11,,11,11,11,11,11
Vranec,4,86.75,2.62995564,84,84.75,87,89,89,4,16,2.943920289,13,14.5,15.5,17,20
Weissburgunder,39,89.61538462,1.72619729,87,88.5,90,91,93,39,26.17948718,7.806447386,15,19,25,33,45
Welschriesling,24,88.66666667,3.509820591,82,85.75,88,92,94,24,28.625,14.58949145,12,15,27,37.5,75
White Blend,2172,87.32642726,2.692908533,80,86,87,89,97,2172,23.2407919,17.17768342,4,14,19,27,375
White Port,1,92,,92,92,92,92,92,1,40,,40,40,40,40,40
White Riesling,13,88.61538462,3.404371247,83,87,88,89,96,13,16.69230769,9.250086625,7,10,13,18,40
Xarel-lo,21,85.71428571,1.927248223,82,84,87,87,88,21,16.04761905,4.499735442,12,13,15,18,30
Xinisteri,1,89,,89,89,89,89,89,1,20,,20,20,20,20,20
Xinomavro,32,86.78125,2.01180989,83,85.75,87,88,92,32,22.5625,7.396326464,13,16.75,20,26.25,38
Xynisteri,2,87,2.828427125,85,86,87,88,89,2,18.5,3.535533906,16,17.25,18.5,19.75,21
Yapincak,2,85.5,2.121320344,84,84.75,85.5,86.25,87,2,18,2.828427125,16,17,18,19,20
Zibibbo,28,89.82142857,2.695037572,86,88,89,92.25,95,28,37.35714286,12.77501696,19,24.75,39,45,60
Zierfandler,12,90.08333333,1.880924982,87,88.75,90.5,91.25,93,12,32.58333333,9.394953513,15,30.25,35,40,42
Zierfandler-Rotgipfler,4,90.75,1.258305739,89,90.5,91,91.25,92,4,23.75,2.5,20,23.75,25,25,25
Zinfandel,2708,87.82680945,3.109607931,80,86,88,90,97,2708,29.4922452,12.35595747,5,20,28,36,100
Zlahtina,2,86,2.828427125,84,85,86,87,88,2,14.5,2.121320344,13,13.75,14.5,15.25,16
Zweigelt,182,88.5,2.166418742,82,87,89,90,94,182,21.51648352,10.15500055,9,15,18,25,70
Çalkarası,2,86.5,0.707106781,86,86.25,86.5,86.75,87,2,19,0,19,19,19,19,19
Žilavka,1,88,,88,88,88,88,88,1,15,,15,15,15,15,15
