variety,points,points,points,points,points,points,points,points,price,price,price,price,price,price,price,price
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
variety,,,,,,,,,,,,,,,,
Grenache-Mourvèdre,6,88,2.607680962,84,87.25,88,88.75,92,6,33.16666667,17.41742423,16,18.25,31.5,42.5,60
Grenache-Shiraz,4,88,2.449489743,85,86.5,88.5,90,90,4,25.5,11.44552314,12,18,27.5,35,35
Grenache-Syrah,50,88.58,2.893271575,83,87,88.5,91,94,50,31.04,17.2140901,8,15,27,42,70
Grignolino,1,85,,85,85,85,85,85,1,17,,17,17,17,17,17
Grillo,109,86.93577982,1.916184622,82,86,87,88,93,109,17.79816514,6.645493901,8,13,17,20,40
Grolleau,3,87.33333333,4.618802154,82,86,90,90,90,3,39.33333333,25.40341184,10,32,54,54,54
Groppello,2,87,0,87,87,87,87,87,2,23,0,23,23,23,23,23
Gros Manseng,22,88.13636364,1.884661257,86,86.25,88,89.75,92,22,18.04545455,4.845000101,12,15,17,22.25,26
Gros Plant,1,86,,86,86,86,86,86,1,16,,16,16,16,16,16
Gros and Petit Manseng,42,89.64285714,1.960853828,86,88,89.5,92,93,42,20.92857143,5.960818642,11,18,18.5,23.5,39
Grüner Veltliner,1145,90.01572052,2.279759877,83,88,90,92,96,1145,27.78078603,35.22294103,9,16,22,31,1100
Hondarrabi Zuri,17,86.17647059,2.743977362,80,85,86,88,90,17,21.17647059,3.876778529,12,19,20,24,29
Hárslevelü,2,89.5,0.707106781,89,89.25,89.5,89.75,90,2,28,2.828427125,26,27,28,29,30
Incrocio Manzoni,3,88,1,87,87.5,88,88.5,89,3,26.33333333,3.214550254,24,24.5,25,27.5,30
Insolia,26,86.65384615,1.19807538,84,86,86.5,87,89,26,16.88461538,5.006611014,10,12.25,16,20.75,27
Inzolia,27,85.96296296,1.285465539,83,85.5,86,87,88,27,14.92592593,5.07577903,7,12.5,14,16,33
Irsai Oliver,1,87,,87,87,87,87,87,1,13,,13,13,13,13,13
Jacquez,3,85,2.645751311,82,84,86,86.5,87,3,34.33333333,9.814954576,23,31.5,40,40,40
Jacquère,23,87.60869565,1.405803893,85,86.5,88,89,90,23,16.86956522,1.890270491,14,16,16,18,20
Jaen,6,89.83333333,3.188521078,86,87.25,90,92.75,93,6,31,5.585696018,20,32,32,34.25,35
Jampal,1,88,,88,88,88,88,88,1,25,,25,25,25,25,25
Johannisberg Riesling,8,86.25,1.982062418,83,84.75,87,88,88,8,8.875,3.090885218,6,7,7.5,9.75,15
Kadarka,2,88,1.414213562,87,87.5,88,88.5,89,2,24,5.656854249,20,22,24,26,28
Kalecik Karasi,15,89.13333333,1.552264091,86,88.5,90,90,91,15,24.8,9.104159175,15,18,25,27,40
Kangoun,1,87,,87,87,87,87,87,1,14,,14,14,14,14,14
Karalahna,1,87,,87,87,87,87,87,1,15,,15,15,15,15,15
Karasakiz,1,89,,89,89,89,89,89,1,15,,15,15,15,15,15
Kekfrankos,10,87.2,3.047767854,81,87,88,88.75,91,10,29.5,15.82016997,17,19.25,25.5,33,70
Kerner,26,88.84615385,2.03356451,87,87.25,88,89.75,95,26,23.34615385,5.43280633,18,20,22,25,44
Kinali Yapincak,1,84,,84,84,84,84,84,1,15,,15,15,15,15,15
Kisi,6,87.33333333,2.250925735,83,87.25,88,88.75,89,6,20.16666667,3.488074923,15,19,19.5,22.25,25
Kotsifali,1,92,,92,92,92,92,92,1,13,,13,13,13,13,13
Kuntra,1,86,,86,86,86,86,86,1,15,,15,15,15,15,15
Lagrein,78,88.56410256,1.51691539,84,88,89,90,91,78,32.87179487,13.09937936,15,21,30,42.25,70
